video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=59bMh59JQDo&pp=ygUHYWkgYmlhcw%3D%3D,/@Google,Google,3 types of bias in AI | Machine learning,1.1M,8 years,"Understanding bias in AI – as researchers and engineers, our goal is to make machine learning technology work for everyone.",2026-01-22 03:27:41.417023
/watch?v=x2mRoFNm22g&pp=ygUHYWkgYmlhcw%3D%3D,/@codeorg,Code.org,AI: Training Data & Bias,244K,6 years,The most important aspect of Machine Learning is what data is used to train it. Find out how training data affects a machine's ...,2026-01-22 03:27:41.420649
/watch?v=gV0_raKR2UQ&pp=ygUHYWkgYmlhcw%3D%3D,/@crashcourse,CrashCourse,Algorithmic Bias and Fairness: Crash Course AI #18,232K,6 years,"Check out Jabril's collab with ""Above the Noise"" about Deepfakes: https://www.youtube.com/watch?v=Ro8b69VeL9U Today, ...",2026-01-22 03:27:41.422524
/watch?v=og67qeTZPYs&pp=ygUHYWkgYmlhcw%3D%3D,/@IBMTechnology,IBM Technology,Algorithmic Bias in AI: What It Is and How to Fix It,20K,11 months,Want to learn more about Automated AI Governance? Read the ebook here → https://ibm.biz/BdGmay Learn more about ...,2026-01-22 03:27:41.425092
/watch?v=4qSZEP5lJi4&pp=ygUHYWkgYmlhcw%3D%3D,/@EyeonTech,Eye on Tech,"6 Types of Machine Learning Bias (AI Bias, Algorithmic Bias)",6.1K,1 year,"You know what they say: Garbage in, garbage out. Or...Bias in, bias out. If you train AI models on biased data, you'll get a biased ...",2026-01-22 03:27:41.429244
/watch?v=xaroJxFTVFQ&pp=ygUHYWkgYmlhcw%3D%3D,/@SabineHossenfelder,Sabine Hossenfelder,Is the AI Left-Bias Real?,311K,1 year,Take courses on large language models on Brilliant! First 30 days are free and 20% off the annual premium subscription when ...,2026-01-22 03:27:41.430971
/watch?v=xvb_A_qzXo4&pp=ygUHYWkgYmlhcw%3D%3D,/@uclaitlp,"UCLA Institute for Technology, Law & Policy ",AI & Bias - So What's the Solution?,10K,3 years,"Demystifying AI is a series of short videos explaining algorithms and AI, answering questions including ""what is an algorithm?",2026-01-22 03:27:41.433086
/watch?v=L2sQRrf1Cd8&pp=ygUHYWkgYmlhcw%3D%3D,/@weare_lis,LIS - The London Interdisciplinary School,How AI Image Generators Make Bias Worse,80K,2 years,Buzzfeed recently published a now deleted article on what AI thinks Barbies would look like from different countries around the ...,2026-01-22 03:27:41.437223
/watch?v=tJQSyzBUAew&pp=ygUHYWkgYmlhcw%3D%3D,/@codeorg,Code.org,Ethics & AI: Equal Access and Algorithmic Bias,129K,5 years,"The potential for AI to help society is enormous. But at the same time we need to develop technology with a focus on ethics, ...",2026-01-22 03:27:41.439369
/watch?v=NaWJhlDb6sE&pp=ygUHYWkgYmlhcw%3D%3D,/@axios,Axios,Biases are being baked into artificial intelligence,33K,7 years,"When it comes to decision making, it might seem that computers are less biased than humans. But algorithms can be just as ...",2026-01-22 03:27:41.441161
/watch?v=eXdVDhOGqoE&pp=ygUHYWkgYmlhcw%3D%3D,/@TED,TED,"AI Is Dangerous, but Not for the Reasons You Think | Sasha Luccioni | TED",1.7M,2 years,"AI won't kill us all — but that doesn't make it trustworthy. Instead of getting distracted by future existential risks, AI ethics researcher ...",2026-01-22 03:27:41.444443
/watch?v=NgaW_p7gsRc&pp=ygUHYWkgYmlhcw%3D%3D,/@mitocw,MIT OpenCourseWare,Ethics of AI Bias (full video),16K,2 years,"MIT RES.10-002 Ethics of AI Bias, Spring 2023 Instructors: Prof. Bernhardt Trout, Prof. Svetozar Minkov View the resource on MIT ...",2026-01-22 03:27:41.450230
/watch?v=BRRNeBKwvNM&pp=ygUHYWkgYmlhcw%3D%3D,/@TED,TED,How to keep human bias out of AI | Kriti Sharma,104K,6 years,AI algorithms make important decisions about you all the time -- like how much you should pay for car insurance or whether or not ...,2026-01-22 03:27:41.452192
/watch?v=UG_X_7g63rY&t=156s&pp=ygUHYWkgYmlhcw%3D%3D,/@TED,TED,How I'm fighting bias in algorithms | Joy Buolamwini,376K,8 years,MIT grad student Joy Buolamwini was working with facial analysis software when she noticed a problem: the software didn't detect ...,2026-01-22 03:27:41.454376
/watch?v=0E03kqmpDIs&pp=ygUHYWkgYmlhcw%3D%3D,/@TEDx,TEDx Talks,When AI Gets It Wrong: The Hidden Bias in Our Algorithms | Charan Sridhar | TEDxBISV Youth,277,4 months,Charan reveals the hidden biases in AI explaining how unfair algorithms impact real lives and how we can create more just ...,2026-01-22 03:27:41.455995
/watch?v=GvUo1E38ZvY&pp=ygUHYWkgYmlhcw%3D%3D,/@TEDx,TEDx Talks,"AI is Biased, But Do We Know Why? | Sadhana Lolla | TEDxBoston",876,2 years,Algorithmic bias is present everywhere around us: it's in the facial detection algorithms on our phones and models used in ...,2026-01-22 03:27:41.457257
/watch?v=eeyL9jBky68&pp=ygUHYWkgYmlhc9IHCQmHCgGHKiGM7w%3D%3D,/@TEDx,TEDx Talks,We need to talk about AI bias in education | Lucretia Fraga | TEDxUIW,819,9 months,Artificial intelligence is transforming education—but not always in ways we see or understand. In this thought-provoking and bold ...,2026-01-22 03:27:41.461630
/watch?v=8tfKdxo8Rj8&pp=ygUHYWkgYmlhcw%3D%3D,/@uclaitlp,"UCLA Institute for Technology, Law & Policy ",AI & Bias - What are Algorithms and how do they work?,27K,3 years,"Demystifying AI is a series of short videos explaining algorithms and AI, answering questions including ""what is an algorithm?",2026-01-22 03:27:41.462957
