video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=gV0_raKR2UQ&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@crashcourse,CrashCourse,Algorithmic Bias and Fairness: Crash Course AI #18,232K,6 years,"Check out Jabril's collab with ""Above the Noise"" about Deepfakes: https://www.youtube.com/watch?v=Ro8b69VeL9U Today, ...",2026-01-22 03:30:44.795201
/watch?v=og67qeTZPYs&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@IBMTechnology,IBM Technology,Algorithmic Bias in AI: What It Is and How to Fix It,20K,11 months,Want to learn more about Automated AI Governance? Read the ebook here → https://ibm.biz/BdGmay Learn more about ...,2026-01-22 03:30:44.797753
/watch?v=8qk4YczYyo0&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@technologylawai,Technology Law,What Is Algorithmic Discrimination? | Algorithmic Bias,93,6 months,"Algorithmic discrimination occurs when automated systems, typically powered by artificial intelligence or machine learning, ...",2026-01-22 03:30:44.798958
/watch?v=N9XaLNfExgM&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@TEDx,TEDx Talks,Tech Bias and Algorithmic discrimination | Courtney Thomas Jr. | TEDxRochester,6.2K,6 years,"Courtney Thomas describes issues in AI and algorithmic discrimination. Courtney Thomas, Jr. is a student and activist working for ...",2026-01-22 03:30:44.801956
/watch?v=bWOUw8omUVg&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@trtworld,TRT World,Algorithmic bias explained,77K,7 years,"The programmes behind artificial intelligence are in almost every part of our lives, but there's an emerging problem with them: ...",2026-01-22 03:30:44.803239
/watch?v=UG_X_7g63rY&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@TED,TED,How I'm fighting bias in algorithms | Joy Buolamwini,376K,8 years,MIT grad student Joy Buolamwini was working with facial analysis software when she noticed a problem: the software didn't detect ...,2026-01-22 03:30:44.806706
/watch?v=UpVkD1nbvrg&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@InnoVisionTechen,Science and Tech,⚖️ AI Bias – How Algorithms Reinforce Discrimination in Our World | InnoVision Tech,164,1 year,AIBias #DiscriminationInAI #EthicalAI #AlgorithmicBias #FairTechnology #SocialImpactAI #BiasInTech #TechAndSociety ...,2026-01-22 03:30:44.807846
/watch?v=K12KEF9TKV4&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AI-MachineLearningExplained,AI and Machine Learning Explained,How Does Algorithmic Bias Cause Discrimination? - AI and Machine Learning Explained,32,4 months,How Does Algorithmic Bias Cause Discrimination? Have you ever wondered how biases in data can influence decision-making ...,2026-01-22 03:30:44.809055
/watch?v=1z9KsNoAmFA&t=226s&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@TEDx,TEDx Talks,How Algorithms Spread Human Bias | Corey Patrick White | TEDxOklahomaCity,12K,4 years,"How do algorithms spread bias throughout our culture? In this talk, technology thought leader Corey Patrick White shares the ...",2026-01-22 03:30:44.813323
/watch?v=o-JZVspK8qk&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@adgojitechnology,ADGOJI Technology,Algorithmic Bias/ Discrimination Algorithms,6,1 month,Discrimination Algorithms of big data and AI deep messeage #india #europe #america #canada.,2026-01-22 03:30:44.814598
/watch?v=sw_GOvl8aMg&t=1623s&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@OhioStateLaw,The Ohio State University Moritz College of Law,Understanding Racial Bias in Algorithms,401,5 years,"The Data Points lecture series is generously supported by Porter Wright Morris & Arthur LLP. In the digital society, algorithms can ...",2026-01-22 03:30:44.816563
/watch?v=BaJpXCuyDlg&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@DWShift,DW Shift,Are Facebook's Algorithms Racist?,6.4K,4 years,Facebook's image recognition software recently interpreted black men as “primates”. It's only the latest example of a long history of ...,2026-01-22 03:30:44.818377
/watch?v=59bMh59JQDo&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@Google,Google,3 types of bias in AI | Machine learning,1.1M,8 years,"Understanding bias in AI – as researchers and engineers, our goal is to make machine learning technology work for everyone.",2026-01-22 03:30:44.821112
/watch?v=tKC8oGk6UNc&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@ArtificialGenius-rk5dd,Artificial Genius,The Dark Side of AI: Addressing Bias and Discrimination in Algorithms #artificialintelligence,543,2 years,"Artificial intelligence is transforming our world in countless ways, from self-driving cars to personalized recommendations.",2026-01-22 03:30:44.824167
/watch?v=UXuJ8yQf6dI&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb27SBwkJhwoBhyohjO8%3D,/@TEDx,TEDx Talks,How biased are our algorithms? | Safiya Umoja Noble | TEDxUIUC,60K,11 years,"What do our algorithms say about our society? In this talk, social scientist Safiya Umoja Noble investigates the bias revealed in ...",2026-01-22 03:30:44.827191
/watch?v=LguLDCrDBhk&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@nyuschooloflaw,NYU School of Law,How Algorithms Reinforce Racial Bias in Policing with Professor Vincent Southerland,857,5 years,"That relates to our algorithmic justice work because what these algorithms do is look for patterns, or search for patterns in large ...",2026-01-22 03:30:44.828438
/watch?v=cygpAm4ooGs&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@UTMcCombsSchool,McCombs School of Business,Algorithmic Bias | Ethics Defined,3.9K,11 months,"Algorithmic bias occurs when AI algorithms reflect human prejudices due to biased data or design, leading to unfair or ...",2026-01-22 03:30:44.831174
