video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=bWOUw8omUVg&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@trtworld,TRT World,Algorithmic bias explained,77K,7 years,"The programmes behind artificial intelligence are in almost every part of our lives, but there's an emerging problem with them: ...",2026-01-22 03:20:24.613316
/watch?v=UG_X_7g63rY&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TED,TED,How I'm fighting bias in algorithms | Joy Buolamwini,376K,8 years,MIT grad student Joy Buolamwini was working with facial analysis software when she noticed a problem: the software didn't detect ...,2026-01-22 03:20:24.615232
/watch?v=og67qeTZPYs&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@IBMTechnology,IBM Technology,Algorithmic Bias in AI: What It Is and How to Fix It,20K,11 months,Want to learn more about Automated AI Governance? Read the ebook here → https://ibm.biz/BdGmay Learn more about ...,2026-01-22 03:20:24.617059
/watch?v=8tfKdxo8Rj8&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@uclaitlp,"UCLA Institute for Technology, Law & Policy ",AI & Bias - What are Algorithms and how do they work?,27K,3 years,"Demystifying AI is a series of short videos explaining algorithms and AI, answering questions including ""what is an algorithm?",2026-01-22 03:20:24.620482
/watch?v=gV0_raKR2UQ&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@crashcourse,CrashCourse,Algorithmic Bias and Fairness: Crash Course AI #18,232K,6 years,"Check out Jabril's collab with ""Above the Noise"" about Deepfakes: https://www.youtube.com/watch?v=Ro8b69VeL9U Today, ...",2026-01-22 03:20:24.623971
/watch?v=UXuJ8yQf6dI&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TEDx,TEDx Talks,How biased are our algorithms? | Safiya Umoja Noble | TEDxUIUC,60K,11 years,"What do our algorithms say about our society? In this talk, social scientist Safiya Umoja Noble investigates the bias revealed in ...",2026-01-22 03:20:24.626805
/watch?v=1z9KsNoAmFA&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TEDx,TEDx Talks,How Algorithms Spread Human Bias | Corey Patrick White | TEDxOklahomaCity,12K,4 years,"How do algorithms spread bias throughout our culture? In this talk, technology thought leader Corey Patrick White shares the ...",2026-01-22 03:20:24.630302
/watch?v=59bMh59JQDo&t=42s&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@Google,Google,3 types of bias in AI | Machine learning,1.1M,8 years,"Understanding bias in AI – as researchers and engineers, our goal is to make machine learning technology work for everyone.",2026-01-22 03:20:24.633184
/watch?v=162VzSzzoPs&t=17s&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@JoyBuolamwini-PoetofCode,Joy Buolamwini,The Coded Gaze: Unmasking Algorithmic Bias,50K,9 years,"Debuted at the Museum of Fine Arts Boston, The Coded Gaze mini documentary follows Poet of Code Joy Buolamwini's personal ...",2026-01-22 03:20:24.635715
/watch?v=xvb_A_qzXo4&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@uclaitlp,"UCLA Institute for Technology, Law & Policy ",AI & Bias - So What's the Solution?,10K,3 years,"Demystifying AI is a series of short videos explaining algorithms and AI, answering questions including ""what is an algorithm?",2026-01-22 03:20:24.639110
/watch?v=xYAdMDT2IyE&t=23s&pp=ygUOYWxnb3JpdGhtIGJpYXPSBwkJhwoBhyohjO8%3D,/@khanacademy,Khan Academy,Algorithmic bias | Intro to CS - Python | Khan Academy,3.9K,1 year,What assumptions does an algorithm make? Evaluate the biases behind both human-generated and AI-generated algorithms.,2026-01-22 03:20:24.642973
/watch?v=heQzqX35c9A&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@rsaorg,The RSA,The Truth About Algorithms | Cathy O'Neil,130K,7 years,"We live in the age of the algorithm - mathematical models are sorting our job applications, curating our online worlds, influencing ...",2026-01-22 03:20:24.644277
/watch?v=FNkpZTt_7JY&pp=ygUOYWxnb3JpdGhtIGJpYXPSBwkJhwoBhyohjO8%3D,/@WorldScienceFestival,World Science Festival,Are Algorithms Biased?,7.2K,8 years,"In machine learning, no algorithm works equally well for all problems, a phenomenon researchers sometimes refer to as the ""no ...",2026-01-22 03:20:24.646340
/watch?v=HQOBf5eHgG0&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TheDocumentaryReel,The Documentary Reel,What Is Algorithm Bias In Artificial Intelligence? - The Documentary Reel,6,4 months,What Is Algorithm Bias In Artificial Intelligence? Have you ever wondered how artificial intelligence systems make decisions and ...,2026-01-22 03:20:24.648806
/watch?v=prx9bxzns3g&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@bigthink,Big Think,How news feed algorithms supercharge confirmation bias | Eli Pariser | Big Think,108K,7 years,How news feed algorithms supercharge confirmation bias New videos DAILY: https://bigth.ink Join Big Think Edge for exclusive ...,2026-01-22 03:20:24.650907
/watch?v=VwAlOUE4K7M&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@MichiganVirtual,Michigan Virtual,AI Literacy: What is Algorithmic Bias?,807,1 year,Our AI Literacy video series is designed to help students build a foundation in artificial intelligence—from understanding AI basics ...,2026-01-22 03:20:24.654248
/watch?v=4svn5CyWgT4&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TEDx,TEDx Talks,How Algorithmic Bias Shapes Our World | Sam Leitermann-Long | TEDxDeerfield,4.6K,3 years,Sam Leitermann-Long explores how algorithms and mathematics are used all around and impact everyday life and perceptions.,2026-01-22 03:20:24.657098
/watch?v=4qSZEP5lJi4&t=65s&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@EyeonTech,Eye on Tech,"6 Types of Machine Learning Bias (AI Bias, Algorithmic Bias)",6.1K,1 year,"You know what they say: Garbage in, garbage out. Or...Bias in, bias out. If you train AI models on biased data, you'll get a biased ...",2026-01-22 03:20:24.660207
/watch?v=0E03kqmpDIs&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@TEDx,TEDx Talks,When AI Gets It Wrong: The Hidden Bias in Our Algorithms | Charan Sridhar | TEDxBISV Youth,277,4 months,Charan reveals the hidden biases in AI explaining how unfair algorithms impact real lives and how we can create more just ...,2026-01-22 03:20:24.663687
/watch?v=61Dn3y5ukk8&pp=ygUOYWxnb3JpdGhtIGJpYXM%3D,/@thenewmarketinganalytics5813,The New Marketing Analytics,Marketing Analytics & Algorithm Bias,29,9 years,The world of data and marketing analytics is full of mathematically developed algorithms - they perform important work for all of us ...,2026-01-22 03:20:24.666128
